Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,$5.0,$3.7,$0.4,$1.6,$10.7
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,$4.8,$3.8,$0.4,$1.6,$10.6
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,$6.0,$2.2,$2.1,$0.3,$10.6
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,$4.3,$2.7,$3.2,$0.4,$10.5
60,Super Mario 64,DS,2004,Platform,Nintendo,$5.1,$3.1,$1.3,$1.0,$10.4
61,Just Dance 3,Wii,2011,Misc,Ubisoft,$6.1,$3.2,$0.0,$1.1,$10.3
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,$6.7,$2.6,$0.0,$0.8,$10.2
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,$7.0,$2.0,$0.1,$0.8,$9.9
64,Mario Kart 64,N64,1996,Racing,Nintendo,$5.6,$1.9,$2.2,$0.2,$9.9
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,$3.7,$3.1,$2.5,$0.6,$9.8
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,$6.6,$2.4,$0.0,$0.7,$9.8
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,$3.0,$2.5,$3.3,$1.0,$9.7
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,$4.1,$3.7,$0.4,$1.4,$9.6
69,Just Dance 2,Wii,2010,Misc,Ubisoft,$5.8,$2.9,$0.0,$0.8,$9.5
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,$3.9,$3.4,$1.7,$0.5,$9.5
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,$5.9,$2.4,$0.1,$0.9,$9.3
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,$4.4,$1.7,$3.0,$0.2,$9.3
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,$5.6,$2.8,$0.0,$0.8,$9.2
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,$2.0,$2.3,$4.4,$0.4,$9.1
75,Mario Party DS,DS,2007,Misc,Nintendo,$4.5,$1.9,$2.0,$0.7,$9.0
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,$5.0,$2.9,$0.1,$0.9,$8.8
77,Super Mario Kart,SNES,1992,Racing,Nintendo,$3.5,$1.2,$3.8,$0.2,$8.8
78,FIFA 16,PS4,2015,Sports,Electronic Arts,$1.1,$6.1,$0.1,$1.3,$8.5
79,Wii Party,Wii,2010,Misc,Nintendo,$1.8,$3.5,$2.5,$0.7,$8.5
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,$6.8,$1.5,$0.1,$0.1,$8.5
81,Mario Party 8,Wii,2007,Misc,Nintendo,$3.8,$2.3,$1.6,$0.7,$8.4
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,$2.9,$1.9,$3.1,$0.4,$8.3
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,$1.1,$5.1,$0.1,$2.0,$8.2
84,The Sims 3,PC,2009,Simulation,Electronic Arts,$1.0,$6.4,$0.0,$0.7,$8.1
85,GoldenEye 007,N64,1997,Shooter,Nintendo,$5.8,$2.0,$0.1,$0.2,$8.1
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,$2.6,$3.9,$0.7,$0.9,$8.1
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,$2.9,$2.1,$2.7,$0.3,$8.1
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,$2.3,$1.7,$3.6,$0.2,$7.9
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,$2.8,$1.8,$2.7,$0.6,$7.8
90,Pac-Man,2600,1982,Puzzle,Atari,$7.3,$0.5,$0.0,$0.1,$7.8
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,$2.9,$2.8,$0.2,$1.8,$7.7
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,$3.7,$2.4,$1.0,$0.6,$7.7
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,$2.9,$3.3,$0.2,$1.2,$7.7
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,$2.8,$3.3,$0.1,$1.4,$7.6
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,$4.1,$1.9,$1.5,$0.2,$7.6
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,$3.8,$2.2,$1.3,$0.3,$7.6
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,$5.4,$1.2,$0.7,$0.2,$7.5
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,$3.2,$1.4,$2.4,$0.4,$7.5
99,Call of Duty: World at War,X360,2008,Shooter,Activision,$4.8,$1.9,$0.0,$0.7,$7.4
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,$4.5,$2.1,$0.1,$0.7,$7.3
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,$3.8,$2.2,$0.6,$0.7,$7.3
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,$4.5,$2.1,$0.0,$0.7,$7.3
103,Just Dance,Wii,2009,Misc,Ubisoft,$3.5,$3.0,$0.0,$0.7,$7.3
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,$2.9,$2.9,$0.4,$1.1,$7.2
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,$3.3,$2.8,$0.1,$1.0,$7.2
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,$3.3,$2.2,$1.4,$0.3,$7.2
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,$3.7,$1.8,$1.4,$0.3,$7.1
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,$4.4,$1.0,$1.4,$0.2,$7.1
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,$3.1,$2.1,$1.3,$0.5,$7.0
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,$2.5,$3.2,$0.2,$1.1,$7.0
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,$4.1,$1.8,$0.9,$0.2,$7.0
112,Just Dance 4,Wii,2012,Misc,Ubisoft,$4.1,$2.2,$0.0,$0.6,$6.9
113,FIFA 14,PS3,2013,Sports,Electronic Arts,$0.8,$4.3,$0.1,$1.7,$6.9
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,$2.7,$3.0,$0.1,$1.1,$6.9
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,$2.9,$2.8,$0.2,$1.0,$6.8
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,$2.8,$2.8,$0.2,$1.1,$6.8
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,$3.2,$2.4,$0.9,$0.3,$6.8
118,Zumba Fitness,Wii,2010,Sports,505 Games,$3.5,$2.6,$0.0,$0.7,$6.8
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,$4.2,$1.9,$0.1,$0.6,$6.8
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,$3.3,$2.3,$0.2,$1.0,$6.7
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,$3.1,$2.3,$0.3,$1.0,$6.7
122,FIFA 12,PS3,2011,Sports,Electronic Arts,$0.8,$4.3,$0.1,$1.4,$6.7
123,Big Brain Academy,DS,2005,Misc,Nintendo,$1.7,$2.8,$1.6,$0.6,$6.7
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,$2.8,$2.6,$0.2,$1.0,$6.6
125,FIFA 15,PS4,2014,Sports,Electronic Arts,$0.8,$4.3,$0.1,$1.5,$6.6
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,$3.3,$1.8,$1.0,$0.5,$6.6
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,$2.6,$2.7,$0.3,$1.1,$6.6
128,The Legend of Zelda,NES,1986,Action,Nintendo,$3.7,$0.9,$1.7,$0.1,$6.5
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,$2.6,$2.6,$0.2,$1.1,$6.5
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,$5.0,$1.3,$0.1,$0.1,$6.4
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,$2.6,$1.6,$2.1,$0.2,$6.4
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,$3.6,$1.2,$1.5,$0.1,$6.4
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,$2.6,$1.6,$1.3,$1.0,$6.4
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,$4.3,$1.4,$0.1,$0.6,$6.4
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,$3.7,$2.0,$0.1,$0.6,$6.3
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,$4.0,$1.3,$0.9,$0.2,$6.3
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,$2.5,$0.8,$2.9,$0.1,$6.3
138,World of Warcraft,PC,2004,Role-Playing,Activision,$0.1,$6.2,$0.0,$0.0,$6.3
139,Driver,PS,1999,Action,GT Interactive,$3.1,$2.8,$0.0,$0.3,$6.3
140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,$3.9,$1.8,$0.0,$0.5,$6.2
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,$4.1,$1.6,$0.1,$0.5,$6.2
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,$3.5,$1.9,$0.1,$0.6,$6.1
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,$2.5,$2.0,$0.9,$0.7,$6.1
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,$4.5,$1.2,$0.2,$0.2,$6.0
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,$2.6,$1.7,$0.8,$0.8,$6.0
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,$3.2,$1.8,$0.8,$0.2,$6.0
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,$2.4,$2.3,$0.3,$1.0,$6.0
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,$1.9,$0.0,$2.3,$1.7,$6.0
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,$2.8,$2.1,$0.2,$0.9,$5.9
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,$0.7,$0.7,$4.4,$0.2,$5.8
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,$3.7,$1.6,$0.0,$0.5,$5.8
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,$1.9,$1.5,$2.0,$0.5,$5.8
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,$2.3,$1.9,$1.4,$0.2,$5.7
154,Cooking Mama,DS,2006,Simulation,505 Games,$3.1,$1.9,$0.1,$0.6,$5.7
155,Destiny,PS4,2014,Shooter,Activision,$2.5,$2.1,$0.2,$1.0,$5.7
156,Tetris,NES,1988,Puzzle,Nintendo,$3.0,$0.7,$1.8,$0.1,$5.6
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,$2.5,$2.0,$0.2,$0.9,$5.6
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,$3.0,$0.6,$2.0,$0.0,$5.6
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,$3.3,$1.7,$0.1,$0.6,$5.6
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,$2.7,$1.9,$0.1,$0.8,$5.5
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,$3.0,$1.9,$0.1,$0.5,$5.5
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,$0.5,$0.6,$4.1,$0.3,$5.5
163,Super Mario Advance,GBA,2001,Platform,Nintendo,$3.1,$1.2,$0.9,$0.2,$5.5
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,$2.6,$1.6,$1.0,$0.2,$5.5
165,Super Mario World,GBA,2001,Platform,Nintendo,$3.2,$1.1,$1.0,$0.2,$5.5
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,$3.2,$1.2,$0.9,$0.1,$5.5
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,$2.7,$1.9,$0.0,$0.8,$5.4
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,$2.1,$2.3,$0.2,$0.8,$5.4
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,$2.0,$2.5,$0.0,$0.9,$5.4
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,$1.7,$1.2,$1.9,$0.5,$5.4
171,Dr. Mario,GB,1989,Puzzle,Nintendo,$2.2,$1.0,$2.0,$0.2,$5.3
172,Pokemon Pinball,GB,1999,Misc,Nintendo,$3.0,$1.1,$1.0,$0.2,$5.3
173,Assassin's Creed III,X360,2012,Action,Ubisoft,$3.1,$1.7,$0.0,$0.4,$5.3
174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,$1.6,$0.8,$2.8,$0.1,$5.3
175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,$1.9,$1.1,$2.1,$0.2,$5.3
176,Donkey Kong 64,N64,1999,Platform,Nintendo,$3.3,$0.8,$1.1,$0.1,$5.3
177,Assassin's Creed II,X360,2009,Action,Ubisoft,$3.1,$1.6,$0.1,$0.5,$5.3
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,$1.2,$2.5,$1.0,$0.5,$5.3
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,$2.3,$2.5,$0.2,$0.3,$5.2
180,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,$4.3,$0.3,$0.0,$0.7,$5.2
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,$0.7,$0.8,$3.6,$0.2,$5.2
182,Diablo III,PC,2012,Role-Playing,Activision,$2.4,$2.2,$0.0,$0.6,$5.2
183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,$2.9,$1.3,$0.8,$0.2,$5.2
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,$2.3,$1.3,$1.3,$0.3,$5.2
185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,$2.5,$1.0,$1.6,$0.2,$5.2
186,FIFA Soccer 13,X360,2012,Action,Electronic Arts,$1.1,$3.5,$0.0,$0.6,$5.2
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,$1.9,$1.8,$1.0,$0.5,$5.2
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,$2.1,$0.7,$2.2,$0.1,$5.2
189,Tomodachi Life,3DS,2013,Simulation,Nintendo,$1.0,$2.0,$1.9,$0.3,$5.2
190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,$1.6,$2.5,$0.4,$0.6,$5.1
191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,$2.0,$2.2,$0.1,$0.8,$5.1
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,$2.7,$0.6,$1.7,$0.1,$5.1
193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,$3.6,$1.1,$0.1,$0.4,$5.1
194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,$3.2,$1.5,$0.0,$0.4,$5.1
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,$3.2,$1.7,$0.0,$0.2,$5.1
196,Guitar Hero II,PS2,2006,Misc,RedOctane,$3.8,$0.6,$0.0,$0.7,$5.1
197,Resident Evil 5,PS3,2009,Action,Capcom,$2.0,$1.4,$1.1,$0.7,$5.1
198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,$2.7,$2.0,$0.0,$0.4,$5.1
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,$1.7,$2.0,$0.2,$1.2,$5.1
200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,$0.6,$3.3,$0.1,$1.1,$5.1
201,Super Mario Bros.,GB,1999,Platform,Nintendo,$3.4,$1.3,$0.2,$0.2,$5.1
202,Resident Evil,PS,1996,Action,Virgin Interactive,$2.1,$1.2,$1.1,$0.7,$5.1
203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,$3.4,$1.4,$0.0,$0.2,$5.0
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,$2.6,$1.1,$0.8,$0.6,$5.0
205,Warzone 2100,PS,1999,Strategy,Eidos Interactive,$2.8,$1.9,$0.0,$0.3,$5.0
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,$3.4,$1.4,$0.1,$0.2,$5.0
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,$3.1,$1.2,$0.3,$0.5,$5.0
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,$3.5,$0.0,$0.0,$1.5,$5.0
209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,$3.4,$1.0,$0.1,$0.4,$5.0
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,$1.9,$1.2,$1.5,$0.4,$5.0
211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,$2.3,$1.7,$0.1,$0.8,$4.9
212,Madden NFL 06,PS2,2005,Sports,Electronic Arts,$4.0,$0.3,$0.0,$0.7,$4.9
213,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,$2.9,$1.5,$0.0,$0.5,$4.9
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,$2.9,$1.0,$0.9,$0.1,$4.9
215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,$0.0,$0.0,$4.9,$0.0,$4.9
216,Dr. Mario,NES,1990,Puzzle,Nintendo,$2.6,$0.6,$1.5,$0.1,$4.9
217,God of War III,PS3,2010,Action,Sony Computer Entertainment,$2.7,$1.4,$0.1,$0.6,$4.8
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,$2.6,$1.7,$0.0,$0.6,$4.8
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,$1.9,$2.0,$0.1,$0.8,$4.8
220,FIFA 15,PS3,2014,Sports,Electronic Arts,$0.6,$3.1,$0.0,$1.1,$4.8
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,$2.6,$1.6,$0.4,$0.2,$4.8
222,FIFA 17,PS4,2016,Sports,Electronic Arts,$0.3,$3.8,$0.1,$0.7,$4.8
223,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,$3.0,$1.3,$0.0,$0.4,$4.8
224,Driver 2,PS,2000,Action,Atari,$2.4,$2.1,$0.0,$0.3,$4.7
225,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,$1.7,$2.2,$0.0,$0.8,$4.7
226,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,$3.1,$1.4,$0.0,$0.2,$4.7
227,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,$1.9,$1.1,$1.3,$0.4,$4.7
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,$1.9,$2.0,$0.1,$0.7,$4.7
229,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,$2.1,$2.0,$0.1,$0.5,$4.6
230,Tomb Raider,PS,1996,Action,Eidos Interactive,$2.3,$2.0,$0.1,$0.2,$4.6
231,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,$3.1,$1.1,$0.0,$0.4,$4.6
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,$2.4,$0.9,$1.2,$0.1,$4.6
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,$2.6,$1.0,$0.9,$0.1,$4.6
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,$1.9,$2.0,$0.2,$0.5,$4.6
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,$1.8,$1.4,$1.1,$0.3,$4.6
236,Splatoon,WiiU,2015,Shooter,Nintendo,$1.6,$1.2,$1.4,$0.4,$4.6
237,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,$1.8,$1.9,$0.1,$0.8,$4.6
238,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,$3.2,$0.9,$0.0,$0.4,$4.5
239,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,$4.2,$0.3,$0.0,$0.1,$4.5
240,Pitfall!,2600,1981,Platform,Activision,$4.2,$0.2,$0.0,$0.1,$4.5
241,Madden NFL 07,PS2,2006,Sports,Electronic Arts,$3.6,$0.2,$0.0,$0.6,$4.5
